run_id,experiment_id,model_name,model_type,target,feature_schema_version,sweep_stage,log_loss_train,train_log_loss,accuracy_train,train_accuracy,log_loss_val,val_log_loss,accuracy_val,val_accuracy,log_loss_test,test_log_loss,accuracy_test,test_accuracy,param_colsample_bytree,param_early_stopping_rounds,param_eval_metric,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_n_jobs,param_num_class,param_objective,param_random_state,param_subsample,param_tree_method,param_C,param_class_weight,param_dual,param_fit_intercept,param_intercept_scaling,param_l1_ratio,param_max_iter,param_penalty,param_solver,param_target_type,param_tol,param_verbose,param_warm_start,param_multi_class,param_max_features,param_min_samples_leaf
d73c2d7c3adf43e68b52dc32e18bac95,115910377377471266,unknown,xgboost,result_3way,v1,smoke,0.9028042270187893,0.9028042270187893,0.5785265562535694,0.5785265562535694,0.9544650593459115,0.9544650593459115,0.568,0.568,1.0156009631115916,1.0156009631115916,0.5053191489361702,0.5053191489361702,0.7,30,mlogloss,0.2,0.05,2,1,300,-1,3,multi:softprob,42,0.7,hist,,,,,,,,,,,,,,,,
e8befc6c12454b5b803190710ff91069,115910377377471266,unknown,xgboost,result_3way,v1,smoke,0.9028042270187893,0.9028042270187893,0.5785265562535694,0.5785265562535694,0.9544650593459115,0.9544650593459115,0.568,0.568,1.0156009631115916,1.0156009631115916,0.5053191489361702,0.5053191489361702,0.7,30,mlogloss,0,0.05,2,1,300,-1,3,multi:softprob,42,0.7,hist,,,,,,,,,,,,,,,,
8341f969b1e4400c93f076cfde608482,115910377377471266,unknown,xgboost,result_3way,v1,smoke,0.9098481364215473,0.9098481364215473,0.566533409480297,0.566533409480297,0.9542226320119098,0.9542226320119098,0.56,0.56,1.0158780351745504,1.0158780351745504,0.5079787234042553,0.5079787234042553,0.9,30,mlogloss,0.2,0.05,2,5,300,-1,3,multi:softprob,42,0.9,hist,,,,,,,,,,,,,,,,
5a08644c98844f238496c62728645795,115910377377471266,unknown,xgboost,result_3way,v1,smoke,0.9098481364215473,0.9098481364215473,0.566533409480297,0.566533409480297,0.9542226320119098,0.9542226320119098,0.56,0.56,1.0158780351745504,1.0158780351745504,0.5079787234042553,0.5079787234042553,0.9,30,mlogloss,0,0.05,2,5,300,-1,3,multi:softprob,42,0.9,hist,,,,,,,,,,,,,,,,
6100f5f384144afbbad650f509b1ac05,115910377377471266,unknown,xgboost,result_3way,v1,smoke,0.9104271439790065,0.9104271439790065,0.5693889206167904,0.5693889206167904,0.95462089655638,0.95462089655638,0.56,0.56,1.01625063320451,1.01625063320451,0.5026595744680851,0.5026595744680851,0.7,30,mlogloss,0.2,0.05,2,1,300,-1,3,multi:softprob,42,0.9,hist,,,,,,,,,,,,,,,,
4ab8071352904d05931207a4a9ef5d92,115910377377471266,unknown,xgboost,result_3way,v1,smoke,0.9104271439790065,0.9104271439790065,0.5693889206167904,0.5693889206167904,0.95462089655638,0.95462089655638,0.56,0.56,1.01625063320451,1.01625063320451,0.5026595744680851,0.5026595744680851,0.7,30,mlogloss,0,0.05,2,1,300,-1,3,multi:softprob,42,0.9,hist,,,,,,,,,,,,,,,,
4ff7eba1f2d04fef99957f6e20e706db,115910377377471266,unknown,xgboost,result_3way,v1,smoke,0.9211288929953749,0.9211288929953749,0.5659623072529982,0.5659623072529982,0.9564545965468715,0.9564545965468715,0.56,0.56,1.0164691076981305,1.0164691076981305,0.5079787234042553,0.5079787234042553,0.7,30,mlogloss,0,0.01,2,5,300,-1,3,multi:softprob,42,0.9,hist,,,,,,,,,,,,,,,,
d548eff7fd7c4810a375f8a115fb6bb8,115910377377471266,unknown,xgboost,result_3way,v1,smoke,0.9211288929953749,0.9211288929953749,0.5659623072529982,0.5659623072529982,0.9564545965468715,0.9564545965468715,0.56,0.56,1.0164691076981305,1.0164691076981305,0.5079787234042553,0.5079787234042553,0.7,30,mlogloss,0.2,0.01,2,5,300,-1,3,multi:softprob,42,0.9,hist,,,,,,,,,,,,,,,,
527018e013e04022a4cfb13fc5a051cf,115910377377471266,unknown,xgboost,result_3way,v1,smoke,0.919069474066413,0.919069474066413,0.5636778983438036,0.5636778983438036,0.9536974298782237,0.9536974298782237,0.56,0.56,1.0168384178585994,1.0168384178585994,0.5106382978723404,0.5106382978723404,0.7,30,mlogloss,0.2,0.01,2,5,300,-1,3,multi:softprob,42,0.7,hist,,,,,,,,,,,,,,,,
6a1b7466062c432385a8cc8ec03112f9,115910377377471266,unknown,xgboost,result_3way,v1,smoke,0.919069474066413,0.919069474066413,0.5636778983438036,0.5636778983438036,0.9536974298782237,0.9536974298782237,0.56,0.56,1.0168384178585994,1.0168384178585994,0.5106382978723404,0.5106382978723404,0.7,30,mlogloss,0,0.01,2,5,300,-1,3,multi:softprob,42,0.7,hist,,,,,,,,,,,,,,,,
