target,metric,dixon_coles,xgb_mkt_only,naive_market,xgb_vs_dc_delta
away_corners,mae,2.216471852897958,2.1120858422758753,,-0.1044
away_corners,rmse,2.8408304217641893,2.6915635748950497,,-0.1493
away_goals,mae,0.9284632038578368,0.8560672458894351,,-0.0724
away_goals,rmse,1.1823825991867216,1.1086246563228368,,-0.0738
btts,accuracy,0.5098389982110912,0.5026833631484794,0.5581395348837209,-0.0072
btts,log_loss,0.6940702065851135,0.699890620471878,0.6886016697628471,+0.0058
home_corners,mae,2.3557246136537393,2.172524781047978,,-0.1832
home_corners,rmse,2.891683218746405,2.680741035151456,,-0.2109
home_goals,mae,0.9997772880939172,0.9530450173908568,,-0.0467
home_goals,rmse,1.2322305310124304,1.1813694670530408,,-0.0509
result_3way,accuracy,0.4508050089445438,0.518783542039356,0.5277280858676208,+0.0680
result_3way,log_loss,1.3160171423661862,1.028584143017767,1.3884859376141958,-0.2874
total_corners,mae,2.929860167085378,2.7342446605293396,,-0.1956
total_corners,rmse,3.641038862815821,3.394347006535593,,-0.2467
total_goals,mae,1.2964279583537068,1.2757163376202525,,-0.0207
total_goals,rmse,1.6275113138848876,1.6053070237791225,,-0.0222
