fraction,train_n,log_loss,accuracy
0.2,520,0.9587830025712213,0.5483870967741935
0.4,1041,0.9441447482864485,0.5716845878136201
0.6,1562,0.9410610587369359,0.5645161290322581
0.8,2083,0.9291111901745207,0.5806451612903226
1.0,2604,0.9282021230079833,0.568100358422939
