league,alpha,log_loss,draw_recall,draw_precision,home_recall,away_recall,mean_predicted_draw_proba,true_draw_rate
E0,0.0,1.0105,0.0345,0.5,0.7635,0.5217,0.2218,0.2544
E0,0.3,1.0044,0.0621,0.3,0.7469,0.5489,0.247,0.2544
E0,0.5,1.0041,0.0897,0.2766,0.6763,0.5652,0.2648,0.2544
E0,0.7,1.0074,0.1379,0.2817,0.639,0.5598,0.2818,0.2544
E0,1.0,1.0139,0.2345,0.2742,0.5975,0.5109,0.3119,0.2544
SP1,0.0,0.9601,0.0214,0.1154,0.8358,0.4383,0.2532,0.2456
SP1,0.3,0.9617,0.0786,0.25,0.7873,0.5,0.2689,0.2456
SP1,0.5,0.9651,0.1143,0.2963,0.7724,0.5185,0.279,0.2456
SP1,0.7,0.9711,0.1786,0.3012,0.7201,0.537,0.2969,0.2456
SP1,1.0,0.9837,0.2929,0.3417,0.6642,0.5309,0.3126,0.2456
D1,0.0,1.0038,0.0165,0.3333,0.85,0.5127,0.2491,0.2636
D1,0.3,0.9998,0.0744,0.375,0.7667,0.5823,0.2753,0.2636
D1,0.5,0.9995,0.124,0.3947,0.7556,0.5823,0.2833,0.2636
D1,0.7,1.0036,0.2066,0.3472,0.7,0.5696,0.3023,0.2636
D1,1.0,1.0077,0.2645,0.3265,0.6333,0.557,0.323,0.2636
I1,0.0,0.9765,0.0133,0.6667,0.8158,0.625,0.2385,0.2632
I1,0.3,0.9751,0.02,0.2727,0.7895,0.6354,0.2609,0.2632
I1,0.5,0.9766,0.06,0.36,0.7763,0.6354,0.276,0.2632
I1,0.7,0.9814,0.1467,0.3143,0.7105,0.6042,0.2907,0.2632
I1,1.0,0.9842,0.24,0.3103,0.6184,0.6042,0.3126,0.2632
F1,0.0,0.9596,0.0087,0.1667,0.7737,0.5732,0.2266,0.2203
F1,0.3,0.963,0.0435,0.2273,0.7325,0.5915,0.2473,0.2203
F1,0.5,0.9714,0.0957,0.3143,0.7119,0.5793,0.2582,0.2203
F1,0.7,0.9792,0.1304,0.3333,0.6955,0.5915,0.2736,0.2203
F1,1.0,0.9933,0.1826,0.2958,0.6296,0.5915,0.2935,0.2203
