feature,importance_mean,importance_std,importance_pct,rank
MKT_IMPLIED_AWAY,0.044783377647399904,0.009350070928301688,100.0,1
MKT_LOG_ODDS_A,0.01570758819580078,0.005821753103055358,43.24,2
DIS_HOME_HY_R5,0.005684709548950196,0.0014584751180802588,23.67,3
MKT_IMPLIED_HOME,0.004953265190124512,0.0016591197596297676,22.24,4
DIS_HOME_DISCIPLINE_SCORE_R5,0.003418278694152832,0.0006318770446465876,19.25,5
DEF_HOME_XGA_R5,0.003192019462585449,0.002546130270480612,18.8,6
DEF_HOME_FTAG_EMA3,0.0031382203102111816,0.0005934561145060918,18.7,7
DEF_HOME_AS_R3,0.0027553081512451173,0.0008455042944869276,17.95,8
OFF_AWAY_SHOT_ACCURACY_R5,0.0020110607147216797,0.0013010429537355231,16.5,9
EFFICIENCY_ATTACK_MATCHUP_DIFF_R5,0.0019998073577880858,0.0007735638035442768,16.48,10
EFFICIENCY_AWAY_ATTACK_VS_HOME_DEF_R5,0.0019438028335571288,0.00037675986220416175,16.37,11
DEF_HOME_XGA_R3,0.0018159866333007813,0.0011338249545770854,16.12,12
MKT_Home_Prob_Real,0.0017731308937072754,0.000684326990312682,16.03,13
DIS_HOME_AY_R3,0.0017520785331726074,0.0010808806093114199,15.99,14
CTX_AWAY_REST_DAYS,0.0015577912330627442,0.0007890987598516971,15.61,15
DEF_HOME_FTAG_R5,0.0014423727989196777,0.0005687818442405554,15.39,16
CTX_HOME_GOALS_STD_R5,0.0014345765113830567,0.0012983198273093623,15.37,17
OPP_ADJ_HOME_CORNERS_CONCEDED_R3,0.0013157963752746583,0.00019700600046759239,15.14,18
OFF_HOME_HST_R3,0.001107501983642578,0.00014899973535891853,14.73,19
MKT_LOG_ODDS_H_A_RATIO,0.0011020779609680175,0.0006897376366589276,14.72,20
MKT_LOG_ODDS_H,0.0010889172554016113,0.0005685121802036503,14.7,21
DEF_AWAY_FTHG_EMA5,0.0010755181312561036,0.0006631500182583683,14.67,22
DEF_HOME_AC_R5,0.000990760326385498,0.00019789309163183126,14.51,23
OFF_HOME_SHOT_ACCURACY_R3,0.000985252857208252,0.00135783312052382,14.5,24
CTX_HOME_REST_DAYS,0.0008482694625854492,0.00014379613621863242,14.23,25
DIS_HOME_HR_R3,0.0008019447326660156,0.00011814576187963661,14.14,26
CTX_HOME_CONCEDED_STD_R5,0.0007963299751281739,0.00045800938413045954,14.13,27
DEF_AWAY_HC_R5,0.0007918953895568847,0.00038396558706831426,14.12,28
H2H_TOTAL_GOALS_R5,0.0007574796676635742,0.0019000055653314132,14.05,29
OPP_ADJ_CORNER_MATCHUP_AWAY_R3,0.0007426977157592773,0.0008175677549074717,14.02,30
