feature,importance_mean,importance_std,importance_pct,rank
MKT_LOG_ODDS_H_A_RATIO,0.029357051849365233,0.007271109415627465,100.0,1
MKT_LOG_ODDS_A,0.013348841667175293,0.004214342201759678,53.1,2
MKT_IMPLIED_HOME,0.006924140453338623,0.0021207589235838434,34.28,3
MKT_IMPLIED_AWAY,0.005960392951965332,0.0023878501024434846,31.46,4
MKT_LOG_ODDS_H,0.004615569114685058,0.0017114443481044117,27.52,5
OPP_ADJ_AWAY_CORNERS_CONCEDED_R5,0.004422295093536377,0.002250406430813213,26.95,6
MKT_Home_Prob_Real,0.0014296531677246093,0.0016138661643526288,18.18,7
OPP_ADJ_AWAY_CORNERS_CONCEDED_R3,0.001401376724243164,0.0003712733074156243,18.1,8
CTX_HOME_GOALS_STD_R5,0.0012900590896606444,0.0006714823699829891,17.78,9
OFF_HOME_HC_R5,0.0011974930763244628,0.0006530731178696502,17.5,10
OFF_HOME_HST_EMA5,0.0011928558349609375,0.0006454235068499739,17.49,11
DEF_AWAY_XGA_R3,0.0009368419647216797,0.00041542680462392125,16.74,12
EFFICIENCY_AWAY_ATTACK_VS_HOME_DEF_R5,0.0009160876274108887,0.00041897451403131173,16.68,13
OPP_ADJ_AWAY_SOT_SCORED_R5,0.0007132649421691895,7.22910589176264e-05,16.09,14
OFF_HOME_SHOT_ACCURACY_R5,0.0005551695823669434,0.00040760786380374494,15.62,15
OFF_AWAY_AC_R5,0.0005276918411254883,0.0004824131084945407,15.54,16
OPP_ADJ_HOME_GOALS_CONCEDED_R3,0.00047607421875,0.00025983938504689334,15.39,17
OPP_ADJ_AWAY_GOALS_CONCEDED_R3,0.0004098773002624512,0.0004608504454691711,15.2,18
DIS_HOME_HY_R5,0.00040869712829589845,9.036064147949218e-06,15.19,19
INTERACTION_ATTACK_SOT_DIFF_R5,0.0003989577293395996,0.0001787505577944904,15.17,20
OFF_AWAY_SHOT_ACCURACY_R5,0.0003738999366760254,0.00032870863833907353,15.09,21
OFF_HOME_HS_R3,0.00036934614181518557,0.0004903747808253617,15.08,22
DEF_HOME_AS_R5,0.0003136277198791504,0.0010344799700996617,14.92,23
OFF_HOME_HST_R3,0.0003015637397766113,0.00038408269380251403,14.88,24
OPP_ADJ_HOME_GOALS_SCORED_R5,0.000299537181854248,0.000307620218662867,14.87,25
CTX_AWAY_PPG_L10,0.0002757430076599121,0.0003155319390780739,14.8,26
OPP_ADJ_CORNER_MATCHUP_AWAY_R5,0.00025494098663330077,0.0005678467024657142,14.74,27
EFFICIENCY_HOME_ATTACK_VS_AWAY_DEF_R5,0.0002133488655090332,7.181267536590102e-05,14.62,28
CTX_AWAY_GOALS_STD_R5,0.0002043008804321289,0.00011276603737469191,14.59,29
CTX_AWAY_CONCEDED_STD_R5,0.00018149614334106445,0.000442215771674643,14.53,30
OPP_ADJ_AWAY_GOALS_CONCEDED_R5,0.0001689314842224121,0.00025111821915503417,14.49,31
OFF_AWAY_FTAG_EMA3,0.00016467571258544923,0.00018364110924503537,14.48,32
OFF_HOME_LUCK_R3,0.00011445283889770508,0.0002355900752395296,14.33,33
CTX_HOME_PPG_L10,0.0001003861427307129,0.00018711268490850748,14.29,34
OPP_ADJ_CORNER_MATCHUP_HOME_R3,5.1867961883544925e-05,0.00022068454484559184,14.15,35
OFF_AWAY_LUCK_R3,5.092620849609375e-05,9.692744960487535e-05,14.15,36
OFF_HOME_SHOT_ACCURACY_R3,4.380941390991211e-05,0.00015824454192796408,14.12,37
CTX_AWAY_REST_DAYS,3.197193145751953e-05,0.00039476862358523763,14.09,38
CTX_HOME_CORNERS_STD_R5,2.5320053100585938e-05,7.997840344809233e-05,14.07,39
CTX_AWAY_CUM_PTS,1.6307830810546876e-05,0.0003658544139373063,14.04,40
OPP_ADJ_AWAY_GOALS_SCORED_R3,4.4941902160644535e-06,7.616453632309093e-05,14.01,41
OFF_HOME_FTHG_EMA5,4.363059997558594e-06,0.0001176682126523453,14.01,42
OFF_HOME_FTHG_EMA3,0.0,0.0,14.0,43
CTX_AWAY_WIN_STREAK,0.0,0.0,14.0,44
CTX_AWAY_SCORE_STREAK,0.0,0.0,14.0,45
MKT_Away_Prob_Real,0.0,0.0,14.0,46
MKT_D_Prob_Clean,0.0,0.0,14.0,47
CTX_HOME_CS_STREAK,0.0,0.0,14.0,48
MKT_A_Prob_Clean,0.0,0.0,14.0,49
OFF_Shot_Quality_R5,0.0,0.0,14.0,50
INTERACTION_ATTACK_GOALS_DIFF_R5,0.0,0.0,14.0,51
DEF_AWAY_FTHG_EMA3,0.0,0.0,14.0,52
INTERACTION_DEFENSE_GOALS_DIFF_R5,0.0,0.0,14.0,53
OPP_ADJ_GOAL_MATCHUP_HOME_R5,0.0,0.0,14.0,54
OPP_ADJ_AWAY_SOT_SCORED_R3,0.0,0.0,14.0,55
MKT_LOG_ODDS_D,0.0,0.0,14.0,56
MKT_OVERROUND,0.0,0.0,14.0,57
H2H_HOME_WIN_RATE_R5,0.0,0.0,14.0,58
OPP_ADJ_HOME_SOT_SCORED_R3,0.0,0.0,14.0,59
OPP_ADJ_AWAY_GOALS_SCORED_R5,0.0,0.0,14.0,60
H2H_CORNERS_R5,0.0,0.0,14.0,61
OFF_AWAY_XG_R3,0.0,0.0,14.0,62
OPP_ADJ_AWAY_CORNERS_SCORED_R5,0.0,0.0,14.0,63
OPP_ADJ_CORNER_MATCHUP_AWAY_R3,0.0,0.0,14.0,64
OPP_ADJ_GOAL_MATCHUP_AWAY_R3,0.0,0.0,14.0,65
OFF_HOME_FTHG_R3,0.0,0.0,14.0,66
CTX_AWAY_CS_STREAK,0.0,0.0,14.0,67
DIS_HOME_DISCIPLINE_SCORE_R5,0.0,0.0,14.0,68
OFF_HOME_HS_R5,0.0,0.0,14.0,69
DIS_AWAY_AR_R3,0.0,0.0,14.0,70
DIS_HOME_HR_R3,0.0,0.0,14.0,71
DIS_HOME_AY_R5,0.0,0.0,14.0,72
DIS_AWAY_AY_R5,0.0,0.0,14.0,73
OFF_AWAY_FTAG_R3,0.0,0.0,14.0,74
DIS_HOME_DISCIPLINE_SCORE_R3,0.0,0.0,14.0,75
DIS_HOME_AY_R3,0.0,0.0,14.0,76
OFF_AWAY_AST_R5,0.0,0.0,14.0,77
OFF_AWAY_AST_R3,0.0,0.0,14.0,78
DEF_HOME_AS_R3,0.0,0.0,14.0,79
DEF_AWAY_HS_R3,0.0,0.0,14.0,80
OFF_HOME_HST_R5,0.0,0.0,14.0,81
OFF_AWAY_FTAG_R5,0.0,0.0,14.0,82
DIS_HOME_HY_R3,0.0,0.0,14.0,83
DEF_AWAY_FTHG_R3,0.0,0.0,14.0,84
DIS_HOME_HR_R5,0.0,0.0,14.0,85
DEF_HOME_AC_R3,0.0,0.0,14.0,86
DIS_AWAY_AR_R5,0.0,0.0,14.0,87
DIS_AWAY_DISCIPLINE_SCORE_R3,0.0,0.0,14.0,88
CTX_HOME_REST_DAYS,0.0,0.0,14.0,89
DEF_AWAY_FTHG_EMA5,0.0,0.0,14.0,90
DEF_HOME_FTAG_R3,0.0,0.0,14.0,91
DIS_AWAY_HR_R5,0.0,0.0,14.0,92
DIS_AWAY_HR_R3,0.0,0.0,14.0,93
DIS_HOME_AR_R3,0.0,0.0,14.0,94
CTX_HOME_SCORE_STREAK,-2.7418136596679685e-07,0.0012470072771730487,14.0,95
OFF_HOME_FTHG_R5,-6.246566772460937e-06,7.650450618376644e-06,13.98,96
OFF_AWAY_SHOT_ACCURACY_R3,-7.855892181396485e-06,8.605166473806435e-05,13.97,97
OFF_AWAY_FTAG_EMA5,-1.772642135620117e-05,0.00016025789277022558,13.94,98
CTX_AWAY_CORNERS_STD_R5,-1.7762184143066406e-05,0.00021113443632500898,13.94,99
OPP_ADJ_AWAY_CORNERS_SCORED_R3,-2.4712085723876954e-05,0.00027192367101199015,13.92,100
DIS_HOME_AR_R5,-2.5260448455810548e-05,0.00011652935433181552,13.92,101
DEF_HOME_FTAG_R5,-2.7310848236083984e-05,0.00015718327029775673,13.92,102
OPP_ADJ_HOME_CORNERS_SCORED_R5,-3.883838653564453e-05,0.000590624901051942,13.88,103
DEF_AWAY_HC_R3,-4.336833953857422e-05,0.00034813668862423123,13.87,104
DEF_AWAY_HST_R3,-4.366636276245117e-05,0.00038498536354293796,13.87,105
OPP_ADJ_HOME_CORNERS_CONCEDED_R5,-4.628896713256836e-05,7.878960854286239e-05,13.86,106
OFF_HOME_HC_R3,-5.3262710571289064e-05,0.00026969475749830183,13.84,107
OPP_ADJ_HOME_CORNERS_SCORED_R3,-5.742311477661133e-05,0.0002661291057229708,13.83,108
MKT_H_Prob_Clean,-7.429122924804688e-05,0.000938890530499449,13.78,109
MKT_Draw_Prob_Real,-9.086132049560547e-05,0.0006954464230569588,13.73,110
DEF_AWAY_HST_R5,-0.00013252496719360352,0.0004521292020547432,13.61,111
DIS_AWAY_HY_R3,-0.0001661539077758789,0.00023614454769565796,13.51,112
OPP_ADJ_GOAL_MATCHUP_HOME_R3,-0.00017006397247314452,0.0002925407220971141,13.5,113
OFF_AWAY_AST_EMA5,-0.00020090341567993164,0.0008776306697162627,13.41,114
