feature,importance_mean,importance_std,importance_pct,rank
MKT_IMPLIED_HOME,0.0021425485610961914,0.0009483509441462491,100.0,1
OFF_HOME_HST_EMA5,0.0013618946075439453,0.0005775079168325575,78.38,2
DIS_HOME_DISCIPLINE_SCORE_R3,0.0005177497863769531,0.00023780146125432556,54.99,3
OFF_AWAY_SHOT_ACCURACY_R3,0.00043756961822509765,0.0003001204853695115,52.77,4
CTX_AWAY_CUM_PTS,0.00029542446136474607,0.00026513400665618595,48.84,5
OFF_HOME_SHOT_ACCURACY_R3,0.0002671957015991211,0.0004032808832750143,48.05,6
DEF_HOME_FTAG_EMA5,0.00019538402557373047,0.00022272210726518717,46.07,7
OPP_ADJ_AWAY_CORNERS_CONCEDED_R3,0.00017206668853759767,0.001108214906073962,45.42,8
DIS_AWAY_AY_R3,0.00015528202056884765,0.00030885870023482235,44.95,9
DEF_AWAY_FTHG_EMA5,0.00014519691467285156,0.000151687382578289,44.68,10
EFFICIENCY_HOME_ATTACK_VS_AWAY_DEF_R5,0.00011730194091796875,0.00019850297637232208,43.9,11
OPP_ADJ_HOME_CORNERS_CONCEDED_R3,0.00011653900146484375,0.00022106844603359007,43.88,12
OFF_AWAY_XG_R5,0.00011408329010009766,0.00046882888497000555,43.81,13
OFF_HOME_HST_R3,5.369186401367187e-05,0.00010738372802734374,42.14,14
MKT_LOG_ODDS_A,4.184246063232422e-05,0.0002646782355398815,41.81,15
OPP_ADJ_GOAL_MATCHUP_AWAY_R3,0.0,0.0,40.65,16
OPP_ADJ_GOAL_MATCHUP_HOME_R5,0.0,0.0,40.65,17
OPP_ADJ_AWAY_GOALS_CONCEDED_R5,0.0,0.0,40.65,18
OPP_ADJ_GOAL_MATCHUP_HOME_R3,0.0,0.0,40.65,19
OPP_ADJ_AWAY_CORNERS_SCORED_R3,0.0,0.0,40.65,20
OPP_ADJ_AWAY_SOT_SCORED_R5,0.0,0.0,40.65,21
OPP_ADJ_AWAY_GOALS_CONCEDED_R3,0.0,0.0,40.65,22
OPP_ADJ_AWAY_CORNERS_CONCEDED_R5,0.0,0.0,40.65,23
OPP_ADJ_AWAY_SOT_SCORED_R3,0.0,0.0,40.65,24
OPP_ADJ_AWAY_CORNERS_SCORED_R5,0.0,0.0,40.65,25
OFF_HOME_FTHG_R3,0.0,0.0,40.65,26
OPP_ADJ_AWAY_GOALS_SCORED_R5,0.0,0.0,40.65,27
OPP_ADJ_AWAY_GOALS_SCORED_R3,0.0,0.0,40.65,28
OPP_ADJ_CORNER_MATCHUP_HOME_R3,0.0,0.0,40.65,29
OPP_ADJ_HOME_SOT_SCORED_R5,0.0,0.0,40.65,30
OPP_ADJ_HOME_SOT_SCORED_R3,0.0,0.0,40.65,31
OPP_ADJ_HOME_CORNERS_CONCEDED_R5,0.0,0.0,40.65,32
OPP_ADJ_HOME_CORNERS_SCORED_R5,0.0,0.0,40.65,33
OPP_ADJ_HOME_CORNERS_SCORED_R3,0.0,0.0,40.65,34
OPP_ADJ_HOME_GOALS_CONCEDED_R3,0.0,0.0,40.65,35
OPP_ADJ_HOME_GOALS_SCORED_R5,0.0,0.0,40.65,36
OPP_ADJ_HOME_GOALS_SCORED_R3,0.0,0.0,40.65,37
EFFICIENCY_ATTACK_MATCHUP_DIFF_R5,0.0,0.0,40.65,38
EFFICIENCY_AWAY_ATTACK_VS_HOME_DEF_R5,0.0,0.0,40.65,39
INTERACTION_ATTACK_SOT_DIFF_R5,0.0,0.0,40.65,40
INTERACTION_DEFENSE_GOALS_DIFF_R5,0.0,0.0,40.65,41
OPP_ADJ_GOAL_MATCHUP_AWAY_R5,0.0,0.0,40.65,42
OPP_ADJ_CORNER_MATCHUP_AWAY_R5,0.0,0.0,40.65,43
OPP_ADJ_CORNER_MATCHUP_HOME_R5,0.0,0.0,40.65,44
OFF_HOME_FTHG_EMA3,0.0,0.0,40.65,45
CTX_HOME_GOALS_STD_R5,0.0,0.0,40.65,46
CTX_HOME_CONCEDED_STD_R5,0.0,0.0,40.65,47
CTX_HOME_CORNERS_STD_R5,0.0,0.0,40.65,48
CTX_AWAY_GOALS_STD_R5,0.0,0.0,40.65,49
CTX_AWAY_CONCEDED_STD_R5,0.0,0.0,40.65,50
CTX_AWAY_CORNERS_STD_R5,0.0,0.0,40.65,51
DEF_HOME_FTAG_EMA3,0.0,0.0,40.65,52
