feature,importance_mean,importance_std,importance_pct,rank
MKT_LOG_ODDS_D,0.002598142623901367,0.0005468903002101397,100.0,1
OFF_HOME_FTHG_R5,0.00215764045715332,0.0013449003343893144,92.45,2
CTX_HOME_CUM_PTS,0.0011703968048095703,0.0009845716074087629,75.52,3
OFF_AWAY_AS_R5,0.0009558439254760742,0.00048619217492943214,71.84,4
DEF_HOME_AS_R5,0.0009419441223144532,0.0016271434858949778,71.61,5
DEF_AWAY_FTHG_EMA3,0.0009233474731445313,0.0007993137047352289,71.29,6
OFF_HOME_XG_R5,0.0006991147994995118,0.0009622978039155336,67.44,7
INTERACTION_DEFENSE_GOALS_DIFF_R5,0.0006717205047607422,0.0006496335599490842,66.97,8
OFF_HOME_FTHG_EMA3,0.0006499767303466796,0.0005336196872871295,66.6,9
DEF_HOME_AS_R3,0.00047435760498046873,0.00010630732342487931,63.59,10
OFF_HOME_HC_R5,0.00045752525329589844,0.00018384759486388607,63.3,11
OPP_ADJ_CORNER_MATCHUP_AWAY_R3,0.0003771066665649414,0.0014437118869226858,61.92,12
OPP_ADJ_HOME_GOALS_SCORED_R5,0.0003685951232910156,0.0006748903604996173,61.78,13
CTX_HOME_REST_DAYS,0.0003598928451538086,0.00029832430889414316,61.63,14
DEF_AWAY_XGA_R5,0.00035278797149658204,0.0005390650801082903,61.51,15
CTX_HOME_GOALS_STD_R5,0.0003490447998046875,0.00015824938673250822,61.44,16
DEF_HOME_AST_R5,0.0003290414810180664,4.358291625976563e-05,61.1,17
CTX_AWAY_CONCEDED_STD_R5,0.00029883384704589846,0.0004302097037505958,60.58,18
MKT_LOG_ODDS_H,0.0002623319625854492,0.00045902123293929057,59.96,19
CTX_AWAY_GOALS_STD_R5,0.00025713443756103516,0.0002803217736074847,59.87,20
DIS_AWAY_DISCIPLINE_SCORE_R3,0.00023472309112548828,0.0002306926023735937,59.48,21
OPP_ADJ_HOME_SOT_SCORED_R3,0.00019922256469726563,9.254663001021223e-05,58.87,22
CTX_AWAY_REST_DAYS,8.127689361572265e-05,0.000919641633529679,56.85,23
OFF_AWAY_FTAG_EMA5,7.848739624023437e-05,0.00010919359051010733,56.8,24
H2H_CORNERS_R5,4.408359527587891e-05,0.00030658114650533987,56.21,25
INTERACTION_ATTACK_GOALS_DIFF_R5,2.0098686218261718e-05,0.0006270691761905927,55.8,26
OFF_HOME_HS_R5,7.62939453125e-06,1.52587890625e-05,55.59,27
MKT_IMPLIED_DRAW,6.198883056640625e-06,0.0011351589058703425,55.56,28
STRENGTH_Goal_Diff,0.0,0.0,55.46,29
OPP_ADJ_AWAY_GOALS_SCORED_R3,0.0,0.0,55.46,30
