feature,importance_mean,importance_std,importance_pct,rank
MKT_IMPLIED_HOME,0.10050750970840454,0.006890507340972357,100.0,1
MKT_Home_Prob_Real,0.00667647123336792,0.0015171829190194599,9.48,2
MKT_LOG_ODDS_H,0.0059378623962402345,0.002034735838794739,8.77,3
MKT_LOG_ODDS_H_A_RATIO,0.0051893949508666996,0.0007417887749020305,8.05,4
MKT_LOG_ODDS_A,0.003884923458099365,0.0006210133830778968,6.79,5
OFF_HOME_LUCK_R5,0.00227663516998291,0.0013333353072772505,5.24,6
OPP_ADJ_AWAY_CORNERS_SCORED_R5,0.0015738844871520997,0.0008708044809773946,4.56,7
MKT_Draw_Prob_Real,0.0011830806732177734,0.000673505071909193,4.18,8
OFF_AWAY_AS_R3,0.0009257197380065918,0.00021748941496682204,3.93,9
MKT_LOG_ODDS_D,0.0008537054061889648,0.0024730311236994974,3.86,10
OFF_HOME_SHOT_ACCURACY_R3,0.0006694793701171875,0.00030850111906102914,3.69,11
OFF_AWAY_AST_EMA5,0.0006670832633972168,0.000729807286738787,3.68,12
MKT_H_Prob_Clean,0.000651097297668457,0.0006093236852110083,3.67,13
DIS_HOME_HY_R5,0.0006423592567443848,0.00039756349895277653,3.66,14
OPP_ADJ_HOME_CORNERS_CONCEDED_R5,0.0006112456321716309,0.0002639904372617514,3.63,15
CTX_HOME_SCORE_STREAK,0.0005762577056884766,0.0,3.6,16
OFF_HOME_HC_R5,0.0005679130554199219,0.000568262118260388,3.59,17
DEF_HOME_XGA_R5,0.0005627155303955078,0.0009882276065292473,3.58,18
OPP_ADJ_AWAY_CORNERS_CONCEDED_R5,0.0005508899688720703,0.00020294189453124998,3.57,19
DEF_AWAY_XGA_R3,0.0005454301834106445,0.000230746254765564,3.57,20
DEF_AWAY_HS_R5,0.0004762887954711914,0.0005177724148423905,3.5,21
OPP_ADJ_AWAY_GOALS_SCORED_R3,0.0004390239715576172,0.0002609338468357663,3.46,22
DEF_HOME_SAVE_RATE_R5,0.0004375219345092773,0.0003467734501168792,3.46,23
CTX_AWAY_CORNERS_STD_R5,0.0002888679504394531,0.0006009246717703383,3.32,24
OPP_ADJ_HOME_SOT_SCORED_R3,0.00019333362579345703,0.00022617896649089443,3.23,25
DEF_HOME_AST_R3,0.00017265081405639648,0.0004014399731254895,3.21,26
CTX_AWAY_REST_DAYS,0.0001377701759338379,0.00023811336770266725,3.17,27
OFF_HOME_HC_R3,0.00011769533157348632,0.0007166490887020184,3.15,28
CTX_AWAY_CUM_PTS,0.00011622905731201172,0.005356202189137042,3.15,29
EFFICIENCY_AWAY_ATTACK_VS_HOME_DEF_R5,0.00010814666748046876,0.00048808392195433665,3.15,30
CTX_AWAY_CONCEDED_STD_R5,9.102821350097657e-05,0.000955190625404399,3.13,31
DEF_AWAY_HST_R3,8.866786956787109e-05,0.00014740768097656272,3.13,32
OPP_ADJ_GOAL_MATCHUP_HOME_R3,6.399154663085937e-05,0.0011112364140357677,3.1,33
CTX_AWAY_PPG_L10,6.11424446105957e-05,0.000630015550271411,3.1,34
OFF_HOME_XG_R5,5.6290626525878905e-05,0.0005227378871602894,3.1,35
OPP_ADJ_HOME_CORNERS_SCORED_R5,4.3845176696777345e-05,0.0004831137631706143,3.08,36
OPP_ADJ_HOME_SOT_SCORED_R5,2.3353099822998048e-05,0.001197160109317168,3.06,37
MKT_IMPLIED_DRAW,2.1064281463623046e-05,0.0012659089800020258,3.06,38
DEF_HOME_FTAG_EMA5,1.0049343109130859e-05,0.0003602035645449312,3.05,39
OFF_HOME_HS_R3,2.753734588623047e-06,6.724804493939471e-05,3.04,40
INTERACTION_ATTACK_SOT_DIFF_R5,0.0,0.0,3.04,41
OPP_ADJ_AWAY_GOALS_CONCEDED_R3,0.0,0.0,3.04,42
OPP_ADJ_HOME_GOALS_SCORED_R5,0.0,0.0,3.04,43
STRENGTH_Goal_Diff,0.0,0.0,3.04,44
OPP_ADJ_HOME_CORNERS_SCORED_R3,0.0,0.0,3.04,45
OPP_ADJ_HOME_GOALS_CONCEDED_R5,0.0,0.0,3.04,46
OFF_HOME_FTHG_R5,0.0,0.0,3.04,47
OPP_ADJ_AWAY_CORNERS_SCORED_R3,0.0,0.0,3.04,48
OPP_ADJ_HOME_GOALS_SCORED_R3,0.0,0.0,3.04,49
OPP_ADJ_HOME_GOALS_CONCEDED_R3,0.0,0.0,3.04,50
DEF_Save_Rate_R5,0.0,0.0,3.04,51
OPP_ADJ_AWAY_SOT_SCORED_R5,0.0,0.0,3.04,52
OPP_ADJ_GOAL_MATCHUP_HOME_R5,0.0,0.0,3.04,53
CTX_AWAY_WIN_STREAK,0.0,0.0,3.04,54
CTX_AWAY_SCORE_STREAK,0.0,0.0,3.04,55
CTX_HOME_CS_STREAK,0.0,0.0,3.04,56
CTX_HOME_WIN_STREAK,0.0,0.0,3.04,57
OFF_HOME_FTHG_EMA3,0.0,0.0,3.04,58
CTX_AWAY_GOALS_STD_R5,0.0,0.0,3.04,59
CTX_HOME_CORNERS_STD_R5,0.0,0.0,3.04,60
CTX_HOME_CONCEDED_STD_R5,0.0,0.0,3.04,61
CTX_HOME_GOALS_STD_R5,0.0,0.0,3.04,62
MKT_OVERROUND,0.0,0.0,3.04,63
H2H_HOME_WIN_RATE_R5,0.0,0.0,3.04,64
H2H_TOTAL_GOALS_R5,0.0,0.0,3.04,65
CTX_HOME_PPG_L10,0.0,0.0,3.04,66
DEF_AWAY_XGA_R5,0.0,0.0,3.04,67
OFF_AWAY_XG_R3,0.0,0.0,3.04,68
MKT_A_Prob_Clean,0.0,0.0,3.04,69
DEF_HOME_XGA_R3,0.0,0.0,3.04,70
OFF_HOME_XG_R3,0.0,0.0,3.04,71
OPP_ADJ_CORNER_MATCHUP_AWAY_R5,0.0,0.0,3.04,72
OPP_ADJ_GOAL_MATCHUP_AWAY_R5,0.0,0.0,3.04,73
