feature,importance_mean,importance_std,importance_pct,rank
MKT_LOG_ODDS_D,0.002598142623901367,0.0005468903002101397,100.0,1
OFF_HOME_FTHG_R5,0.00215764045715332,0.0013449003343893144,92.45,2
CTX_HOME_CUM_PTS,0.0011703968048095703,0.0009845716074087629,75.52,3
OFF_AWAY_AS_R5,0.0009558439254760742,0.00048619217492943214,71.84,4
DEF_HOME_AS_R5,0.0009419441223144532,0.0016271434858949778,71.61,5
DEF_AWAY_FTHG_EMA3,0.0009233474731445313,0.0007993137047352289,71.29,6
OFF_HOME_XG_R5,0.0006991147994995118,0.0009622978039155336,67.44,7
INTERACTION_DEFENSE_GOALS_DIFF_R5,0.0006717205047607422,0.0006496335599490842,66.97,8
OFF_HOME_FTHG_EMA3,0.0006499767303466796,0.0005336196872871295,66.6,9
DEF_HOME_AS_R3,0.00047435760498046873,0.00010630732342487931,63.59,10
OFF_HOME_HC_R5,0.00045752525329589844,0.00018384759486388607,63.3,11
OPP_ADJ_CORNER_MATCHUP_AWAY_R3,0.0003771066665649414,0.0014437118869226858,61.92,12
OPP_ADJ_HOME_GOALS_SCORED_R5,0.0003685951232910156,0.0006748903604996173,61.78,13
CTX_HOME_REST_DAYS,0.0003598928451538086,0.00029832430889414316,61.63,14
DEF_AWAY_XGA_R5,0.00035278797149658204,0.0005390650801082903,61.51,15
CTX_HOME_GOALS_STD_R5,0.0003490447998046875,0.00015824938673250822,61.44,16
DEF_HOME_AST_R5,0.0003290414810180664,4.358291625976563e-05,61.1,17
CTX_AWAY_CONCEDED_STD_R5,0.00029883384704589846,0.0004302097037505958,60.58,18
MKT_LOG_ODDS_H,0.0002623319625854492,0.00045902123293929057,59.96,19
CTX_AWAY_GOALS_STD_R5,0.00025713443756103516,0.0002803217736074847,59.87,20
DIS_AWAY_DISCIPLINE_SCORE_R3,0.00023472309112548828,0.0002306926023735937,59.48,21
OPP_ADJ_HOME_SOT_SCORED_R3,0.00019922256469726563,9.254663001021223e-05,58.87,22
CTX_AWAY_REST_DAYS,8.127689361572265e-05,0.000919641633529679,56.85,23
OFF_AWAY_FTAG_EMA5,7.848739624023437e-05,0.00010919359051010733,56.8,24
H2H_CORNERS_R5,4.408359527587891e-05,0.00030658114650533987,56.21,25
INTERACTION_ATTACK_GOALS_DIFF_R5,2.0098686218261718e-05,0.0006270691761905927,55.8,26
OFF_HOME_HS_R5,7.62939453125e-06,1.52587890625e-05,55.59,27
MKT_IMPLIED_DRAW,6.198883056640625e-06,0.0011351589058703425,55.56,28
STRENGTH_Goal_Diff,0.0,0.0,55.46,29
OPP_ADJ_AWAY_GOALS_SCORED_R3,0.0,0.0,55.46,30
OPP_ADJ_AWAY_GOALS_SCORED_R5,0.0,0.0,55.46,31
EFFICIENCY_ATTACK_MATCHUP_DIFF_R5,0.0,0.0,55.46,32
OPP_ADJ_HOME_SOT_SCORED_R5,0.0,0.0,55.46,33
OPP_ADJ_AWAY_GOALS_CONCEDED_R5,0.0,0.0,55.46,34
OPP_ADJ_AWAY_CORNERS_SCORED_R3,0.0,0.0,55.46,35
OPP_ADJ_AWAY_CORNERS_SCORED_R5,0.0,0.0,55.46,36
OPP_ADJ_AWAY_GOALS_CONCEDED_R3,0.0,0.0,55.46,37
OPP_ADJ_HOME_CORNERS_CONCEDED_R3,0.0,0.0,55.46,38
STRENGTH_SoT_Diff,0.0,0.0,55.46,39
OPP_ADJ_HOME_CORNERS_CONCEDED_R5,0.0,0.0,55.46,40
OPP_ADJ_HOME_CORNERS_SCORED_R3,0.0,0.0,55.46,41
OPP_ADJ_HOME_GOALS_CONCEDED_R3,0.0,0.0,55.46,42
OPP_ADJ_HOME_GOALS_SCORED_R3,0.0,0.0,55.46,43
OPP_ADJ_AWAY_CORNERS_CONCEDED_R5,0.0,0.0,55.46,44
EFFICIENCY_HOME_ATTACK_VS_AWAY_DEF_R5,0.0,0.0,55.46,45
OPP_ADJ_AWAY_CORNERS_CONCEDED_R3,0.0,0.0,55.46,46
OFF_HOME_FTHG_R3,0.0,0.0,55.46,47
OPP_ADJ_AWAY_SOT_SCORED_R3,0.0,0.0,55.46,48
OPP_ADJ_GOAL_MATCHUP_HOME_R3,0.0,0.0,55.46,49
CTX_AWAY_WIN_STREAK,0.0,0.0,55.46,50
CTX_AWAY_SCORE_STREAK,0.0,0.0,55.46,51
CTX_HOME_CS_STREAK,0.0,0.0,55.46,52
CTX_HOME_WIN_STREAK,0.0,0.0,55.46,53
OFF_AWAY_FTAG_EMA3,0.0,0.0,55.46,54
CTX_AWAY_CORNERS_STD_R5,0.0,0.0,55.46,55
CTX_HOME_CORNERS_STD_R5,0.0,0.0,55.46,56
CTX_HOME_CONCEDED_STD_R5,0.0,0.0,55.46,57
MKT_LOG_ODDS_H_A_RATIO,0.0,0.0,55.46,58
MKT_LOG_ODDS_A,0.0,0.0,55.46,59
MKT_OVERROUND,0.0,0.0,55.46,60
H2H_HOME_WIN_RATE_R5,0.0,0.0,55.46,61
H2H_TOTAL_GOALS_R5,0.0,0.0,55.46,62
CTX_AWAY_CUM_PTS,0.0,0.0,55.46,63
OFF_AWAY_XG_R5,0.0,0.0,55.46,64
OFF_AWAY_XG_R3,0.0,0.0,55.46,65
OFF_HOME_LUCK_R5,0.0,0.0,55.46,66
DEF_HOME_XGA_R5,0.0,0.0,55.46,67
DEF_HOME_XGA_R3,0.0,0.0,55.46,68
MKT_A_Prob_Clean,0.0,0.0,55.46,69
OFF_HOME_XG_R3,0.0,0.0,55.46,70
OPP_ADJ_CORNER_MATCHUP_AWAY_R5,0.0,0.0,55.46,71
OPP_ADJ_GOAL_MATCHUP_AWAY_R5,0.0,0.0,55.46,72
OPP_ADJ_GOAL_MATCHUP_AWAY_R3,0.0,0.0,55.46,73
OPP_ADJ_GOAL_MATCHUP_HOME_R5,0.0,0.0,55.46,74
OFF_Shot_Quality_R5,0.0,0.0,55.46,75
DEF_Save_Rate_R5,0.0,0.0,55.46,76
MKT_D_Prob_Clean,0.0,0.0,55.46,77
DEF_AWAY_HST_R5,0.0,0.0,55.46,78
OFF_AWAY_AST_R5,0.0,0.0,55.46,79
OFF_AWAY_AST_R3,0.0,0.0,55.46,80
MKT_H_Prob_Clean,0.0,0.0,55.46,81
DEF_AWAY_HS_R3,0.0,0.0,55.46,82
OFF_AWAY_AS_R3,0.0,0.0,55.46,83
DEF_AWAY_FTHG_R3,0.0,0.0,55.46,84
OFF_AWAY_FTAG_R5,0.0,0.0,55.46,85
OFF_AWAY_FTAG_R3,0.0,0.0,55.46,86
DEF_HOME_SAVE_RATE_R5,0.0,0.0,55.46,87
DIS_HOME_DISCIPLINE_SCORE_R5,0.0,0.0,55.46,88
OFF_HOME_SHOT_ACCURACY_R5,0.0,0.0,55.46,89
OFF_HOME_SHOT_ACCURACY_R3,0.0,0.0,55.46,90
DIS_HOME_AR_R5,0.0,0.0,55.46,91
DIS_HOME_AR_R3,0.0,0.0,55.46,92
DIS_HOME_HR_R5,0.0,0.0,55.46,93
DIS_HOME_HR_R3,0.0,0.0,55.46,94
DIS_HOME_AY_R5,0.0,0.0,55.46,95
DIS_HOME_AY_R3,0.0,0.0,55.46,96
DEF_HOME_AC_R5,0.0,0.0,55.46,97
DEF_HOME_AC_R3,0.0,0.0,55.46,98
OFF_HOME_HC_R3,0.0,0.0,55.46,99
DEF_HOME_AST_R3,0.0,0.0,55.46,100
OFF_HOME_HST_R5,0.0,0.0,55.46,101
OFF_HOME_HST_R3,0.0,0.0,55.46,102
OFF_HOME_HS_R3,0.0,0.0,55.46,103
DEF_HOME_FTAG_R5,0.0,0.0,55.46,104
DEF_HOME_FTAG_R3,0.0,0.0,55.46,105
DEF_AWAY_HST_R3,0.0,0.0,55.46,106
DEF_AWAY_HS_R5,0.0,0.0,55.46,107
CTX_AWAY_CS_STREAK,0.0,0.0,55.46,108
DIS_AWAY_HY_R5,0.0,0.0,55.46,109
OFF_AWAY_SHOT_ACCURACY_R5,0.0,0.0,55.46,110
DIS_AWAY_HR_R5,0.0,0.0,55.46,111
DIS_AWAY_DISCIPLINE_SCORE_R5,0.0,0.0,55.46,112
DEF_HOME_FTAG_EMA5,0.0,0.0,55.46,113
DIS_AWAY_HR_R3,0.0,0.0,55.46,114
DIS_AWAY_AR_R5,0.0,0.0,55.46,115
DIS_AWAY_AR_R3,0.0,0.0,55.46,116
OFF_HOME_HST_EMA5,0.0,0.0,55.46,117
DIS_AWAY_HY_R3,0.0,0.0,55.46,118
DIS_AWAY_AY_R5,0.0,0.0,55.46,119
DIS_AWAY_AY_R3,0.0,0.0,55.46,120
DEF_AWAY_HC_R5,0.0,0.0,55.46,121
MKT_Home_Prob_Real,0.0,0.0,55.46,122
MKT_Away_Prob_Real,0.0,0.0,55.46,123
DEF_AWAY_HC_R3,0.0,0.0,55.46,124
MKT_IMPLIED_HOME,0.0,0.0,55.46,125
OPP_ADJ_HOME_GOALS_CONCEDED_R5,-2.6655197143554687e-05,8.717835250856272e-05,55.0,126
DEF_AWAY_FTHG_R5,-2.810955047607422e-05,2.2951351855129933e-05,54.98,127
DEF_AWAY_FTHG_EMA5,-3.478527069091797e-05,0.00023025576417685015,54.86,128
INTERACTION_ATTACK_SOT_DIFF_R5,-3.831386566162109e-05,0.00013514593909005223,54.8,129
OFF_AWAY_LUCK_R5,-5.099773406982422e-05,0.0004048725751899924,54.58,130
DEF_HOME_FTAG_EMA3,-6.749629974365235e-05,0.00023627278061374798,54.3,131
DIS_HOME_HY_R5,-0.00016040802001953124,0.00019353880710263935,52.71,132
DIS_HOME_HY_R3,-0.00017299652099609376,0.0002689925474540721,52.49,133
OFF_HOME_FTHG_EMA5,-0.00019409656524658204,0.000409383608126453,52.13,134
DEF_HOME_SAVE_RATE_R3,-0.0002398252487182617,9.910545572049745e-05,51.35,135
DEF_AWAY_XGA_R3,-0.00025022029876708984,0.0005028587983673947,51.17,136
OFF_AWAY_AST_EMA5,-0.0002570629119873047,0.0002320434417431551,51.05,137
CTX_HOME_SCORE_STREAK,-0.00027005672454833985,0.002049414443137137,50.83,138
OPP_ADJ_AWAY_SOT_SCORED_R5,-0.0002733469009399414,0.00033213571036147565,50.77,139
EFFICIENCY_AWAY_ATTACK_VS_HOME_DEF_R5,-0.0002759695053100586,0.0002512717373580988,50.73,140
OPP_ADJ_HOME_CORNERS_SCORED_R5,-0.00031909942626953127,0.0002547156067595738,49.99,141
